User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,BMI,Workout_Intensity,Steps_Count,Heart_Rate_Avg,Sleep_Hours,Water_Intake_Liters,Workout_Type,Body_Fat_Percentage,Resting_Heart_Rate,Daily_Active_Minutes
14733363,male,68,190.0,94.0,29.0,105.0,40.8,231.0,26.038781163434905,Medium,8421,130,4.2,2.8,Yoga,18.0,67,146
14861698,female,20,166.0,60.0,14.0,94.0,40.3,66.0,21.773842357381334,High,6925,150,7.3,2.0,Cardio,14.3,53,151
11179863,male,69,179.0,79.0,5.0,88.0,38.7,26.0,24.65590961580475,Medium,14202,147,5.5,2.4,Strength,24.2,78,52
16180408,female,34,179.0,71.0,13.0,100.0,40.5,71.0,22.15910864205237,Medium,4646,109,7.4,3.9,Yoga,29.9,57,34
17771927,female,27,154.0,58.0,10.0,81.0,39.8,35.0,24.456063417102378,Low,6309,74,8.6,2.5,HIIT,33.7,73,76
15130815,female,36,151.0,50.0,23.0,96.0,40.7,123.0,21.928862769176792,Low,18832,118,6.5,3.7,Yoga,27.3,59,26
19602372,female,33,158.0,56.0,22.0,95.0,40.5,112.0,22.432302515622492,Low,19952,129,6.1,1.1,Strength,18.4,88,99
11117088,male,41,175.0,85.0,25.0,100.0,40.7,143.0,27.755102040816325,High,14667,121,8.6,1.4,Strength,22.4,77,83
12132339,male,60,186.0,94.0,21.0,97.0,40.4,134.0,27.170771187420506,Medium,9310,142,8.9,3.8,Cardio,29.0,52,85
17964668,female,26,146.0,51.0,16.0,90.0,40.2,72.0,23.925689622818542,Medium,16967,131,4.3,1.4,Cardio,29.7,52,70
13723164,female,36,177.0,76.0,1.0,74.0,37.8,3.0,24.258674071946118,Low,11239,121,8.6,3.2,Cardio,11.9,72,38
13681290,female,21,157.0,56.0,17.0,100.0,40.0,92.0,22.7189744005842,High,9088,159,4.4,2.3,HIIT,25.3,76,71
15566424,male,66,171.0,79.0,11.0,90.0,40.0,58.0,27.01685988851271,High,14822,109,5.7,2.2,Strength,34.2,73,120
12891699,female,32,157.0,54.0,18.0,93.0,40.4,88.0,21.907582457706194,Low,19448,136,7.8,3.0,Strength,29.6,57,78
13823829,male,53,182.0,85.0,2.0,82.0,38.1,7.0,25.661152034778407,Low,5821,113,7.9,3.2,Strength,10.2,57,77
17557348,female,39,156.0,62.0,28.0,104.0,40.8,170.0,25.476660092044707,Low,3436,113,7.6,3.8,HIIT,15.6,66,167
12198133,male,39,182.0,82.0,4.0,82.0,38.6,11.0,24.755464315903875,Medium,14897,156,4.2,1.8,Yoga,21.1,82,139
15236104,male,46,169.0,67.0,11.0,89.0,40.2,43.0,23.458562375266975,Medium,9719,155,4.7,3.1,Yoga,27.7,59,138
11042324,female,27,171.0,65.0,4.0,85.0,38.6,15.0,22.229061933586404,Medium,4794,87,8.7,2.0,Cardio,23.9,86,42
16864285,male,50,188.0,86.0,14.0,94.0,40.2,74.0,24.332277048438208,Low,13528,110,4.4,3.2,Yoga,11.9,60,28
11674347,male,67,189.0,93.0,8.0,77.0,39.2,29.0,26.035105400184765,Medium,12082,133,4.4,1.4,Cardio,28.5,75,154
19797300,female,31,148.0,50.0,8.0,84.0,39.5,32.0,22.826880934989045,Low,15018,92,8.2,2.4,HIIT,31.0,82,22
14711095,female,33,157.0,60.0,3.0,80.0,38.7,10.0,24.341758286340216,Low,19481,60,7.2,1.6,HIIT,15.1,57,146
14434854,female,20,165.0,59.0,29.0,100.0,41.0,155.0,21.6712580348944,Medium,17584,144,5.8,2.0,Yoga,11.7,78,107
14893804,male,48,182.0,85.0,1.0,80.0,37.7,3.0,25.661152034778407,Medium,11850,128,4.8,3.1,Cardio,29.8,63,104
17231597,male,29,176.0,75.0,10.0,83.0,39.7,24.0,24.212293388429753,Medium,10455,60,8.4,1.7,Yoga,26.0,69,113
10901446,male,33,173.0,73.0,7.0,78.0,39.3,12.0,24.3910588392529,Low,13184,114,8.9,3.1,Yoga,30.1,83,165
15874362,male,42,190.0,88.0,3.0,83.0,38.9,10.0,24.37673130193906,Medium,15207,144,4.2,2.5,Yoga,24.2,89,99
15569252,female,62,159.0,59.0,29.0,106.0,41.2,195.0,23.337684427040067,Medium,2160,148,6.8,1.3,Strength,20.7,60,133
15615743,male,38,171.0,75.0,2.0,81.0,38.2,5.0,25.64891761567662,Low,10418,143,5.3,2.2,Cardio,34.1,57,100
13363046,male,20,183.0,88.0,16.0,97.0,40.5,69.0,26.27728507868255,Medium,9081,104,8.2,3.6,HIIT,29.5,50,46
17572853,female,25,160.0,59.0,24.0,102.0,40.3,136.0,23.046874999999996,Low,6412,132,5.7,4.0,HIIT,20.3,76,127
17157339,female,24,165.0,59.0,18.0,91.0,40.2,80.0,21.6712580348944,Low,12114,139,7.6,2.1,Yoga,32.7,64,81
18328111,female,42,165.0,68.0,22.0,93.0,40.8,107.0,24.977043158861342,High,19985,151,6.7,1.2,Cardio,34.8,69,167
19303479,male,22,182.0,84.0,29.0,114.0,41.0,200.0,25.359256128486894,High,7888,99,6.7,1.4,Yoga,17.7,79,40
10699201,female,74,158.0,59.0,10.0,93.0,39.6,56.0,23.634033007530842,High,5718,120,8.3,3.4,Yoga,32.3,71,158
